"Yil	Ay	TL/m³"
"2015	Ocak	1,002100"
"2015	Þubat	1,001107"
"2015	Mart	1,001535"
"2015	Nisan	1,003096"
"2015	Mayýs	1,004478"
"2015	Haziran	1,006380"
"2015	Temmuz	1,007878"
"2015	Aðustos	1,008219"
"2015	Eylül	1,007781"
"2015	Ekim	1,009117"
"2015	Kasým	1,011223"
"2015	Aralýk	1,010943"
"2016	Ocak	1,008962"
"2016	Þubat	1,008508"
"2016	Mart	1,009262"
"2016	Nisan	1,008986"
"2016	Mayýs	1,009536"
"2016	Haziran	1,010254"
"2016	Temmuz	1,012308"
"2016	Aðustos	1,012885"
"2016	Eylül	1,013182"
"2016	Ekim	0,928449"
"2016	Kasým	0,928860"
"2016	Aralýk	0,930055"
"2017	Ocak	0,932924"
"2017	Þubat	0,937284"
"2017	Mart	0,943281"
"2017	Nisan	0,945255"
"2017	Mayýs	0,946905"
"2017	Haziran	0,948123"
"2017	Temmuz	0,948963"
"2017	Aðustos	0,949077"
"2017	Eylül	0,950247"
"2017	Ekim	0,951638"
"2017	Kasým	0,952034"
"2017	Aralýk	0,954863"
"2018	Ocak	0,958262"
"2018	Þubat	0,960614"
"2018	Mart	0,962337"
"2018	Nisan	0,967046"
"2018	Mayýs	0,969825"
"2018	Haziran	0,974588"
"2018	Temmuz	0,981712"
"2018	Aðustos	1,056348"
"2018	Eylül	1,134817"
"2018	Ekim	1,229971"
"2018	Kasým	1,253697"
"2018	Aralýk	1,255897"
"2019	Ocak	1,150834"
"2019	Þubat	1,145554"
"2019	Mart	1,146600"
"2019	Nisan	1,146810"
"2019	Mayýs	1,150504"
"2019	Haziran	1,157581"
"2019	Temmuz	1,164111"
"2019	Aðustos	1,334686"
"2019	Eylül	1,523487"
"2019	Ekim	1,522019"
"2019	Kasým	1,522341"
"2019	Aralýk	1,522762"
"2020	Ocak	1,522564"
"2020	Þubat	1,524275"
"2020	Mart	1,528868"
"2020	Nisan	1,530088"
"2020	Mayýs	1,532310"
"2020	Haziran	1,535608"
"2020	Temmuz	1,539627"
"2020	Aðustos	1,541455"
"2020	Eylül	1,544176"
"2020	Ekim	1,550510"
"2020	Kasým	1,557820"
"2020	Aralýk	1,567872"
"2021	Ocak	1,592352"
"2021	Þubat	1,612196"
"2021	Mart	1,633273"
"2021	Nisan	1,650081"
"2021	Mayýs	1,676512"
"2021	Haziran	1,704337"
"2021	Temmuz	1,877601"
"2021	Aðustos	1,892298"
"2021	Eylül	1,901676"
"2021	Ekim	1,912495"
"2021	Kasým	1,918717"
"2021	Aralýk	1,940076"
"2022	Ocak	2,354955"
"2022	Þubat	2,444981"
"2022	Mart	2,503696"
"2022	Nisan	3,199543"
"2022	Mayýs	3,260692"
"2022	Haziran	4,069765"
"2022	Temmuz	4,138291"
"2022	Aðustos	4,195889"
"2022	Eylül	5,058979"
"2022	Ekim	5,082003"
"2022	Kasým	5,128769"
"2022	Aralýk	5,209037"
"2023	Ocak	4,584340"
"2023	Ocak	4,234600"
"2023	Ocak	4,234600"
"2023	Ocak	4,183275"
"2023	Ocak	4,159422"
"2023	Ocak	4,128926"
"2023	Þubat	4,590012"
"2023	Þubat	4,236145"
"2023	Þubat	4,236145"
"2023	Þubat	4,184215"
"2023	Þubat	4,160080"
"2023	Þubat	4,129224"
"2023	Mart	4,622356"
"2023	Mart	4,244957"
"2023	Mart	4,244957"
"2023	Mart	4,189574"
"2023	Mart	4,163834"
"2023	Mart	4,130926"
"2023	Nisan	4,638696"
"2023	Nisan	4,249409"
"2023	Nisan	4,249409"
"2023	Nisan	4,192281"
"2023	Nisan	4,165730"
"2023	Nisan	4,131786"
"2023	Mayýs	4,650949"
"2023	Mayýs	4,252747"
"2023	Mayýs	4,252747"
